,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed
63,4,8.0,56,0.020779100013896823,"[17, 24, 0, 2, 24, 20, 38, 37, 21, 13, 27, 38, 22, 22, 16, 19, 9, 36, 10, 4, 23, 14, 21, 3, 30, 16, 20, 7, 15, 28, 15, 25, 28, 21, 34, 8, 17, 32, 0, 12]",10,0.05,1024,1
64,8,4.0,102,0.03414330002851784,"[31, 3, 6, 24, 18, 4, 2, 28, 26, 16, 20, 15, 17, 22, 6, 34, 23, 7, 26, 5, 17, 2, 35, 39, 36, 36, 20, 10, 19, 23, 21, 25, 32, 34, 23, 14, 22, 27, 6, 13]",10,0.05,1024,1
65,16,3.0,191,0.05797510000411421,"[31, 3, 6, 24, 18, 4, 2, 28, 39, 16, 20, 15, 17, 22, 6, 34, 23, 7, 26, 5, 17, 2, 35, 13, 36, 38, 20, 10, 19, 23, 21, 25, 32, 34, 23, 14, 22, 27, 6, 13]",10,0.05,1024,1
66,32,3.0,367,0.11377760005416349,"[31, 3, 6, 24, 18, 4, 2, 28, 39, 16, 20, 15, 17, 22, 6, 34, 23, 7, 26, 5, 17, 2, 35, 13, 36, 38, 20, 10, 19, 23, 21, 25, 32, 34, 23, 14, 22, 27, 6, 13]",10,0.05,1024,1
67,64,3.0,719,0.22323110001161695,"[31, 3, 6, 24, 18, 4, 2, 28, 39, 16, 20, 15, 17, 22, 6, 34, 23, 7, 26, 5, 17, 2, 35, 13, 36, 38, 20, 10, 19, 23, 21, 25, 32, 34, 23, 14, 22, 27, 6, 13]",10,0.05,1024,1
68,128,1.0,1425,0.41853240004274994,"[31, 3, 6, 24, 18, 4, 2, 28, 26, 16, 20, 15, 17, 22, 35, 34, 23, 7, 26, 5, 28, 2, 35, 13, 36, 38, 20, 10, 19, 23, 21, 25, 32, 34, 23, 14, 22, 27, 6, 13]",10,0.05,1024,1
69,256,1.0,2833,0.776527600013651,"[31, 3, 6, 24, 18, 4, 2, 28, 26, 16, 20, 15, 17, 22, 35, 34, 23, 7, 26, 5, 28, 2, 35, 13, 36, 38, 20, 10, 19, 23, 21, 25, 32, 34, 23, 14, 22, 27, 6, 13]",10,0.05,1024,1
70,512,0.0,4440,1.1690248000086285,"[31, 3, 6, 24, 18, 4, 25, 28, 26, 16, 0, 15, 17, 22, 35, 34, 23, 7, 26, 5, 28, 2, 35, 13, 36, 38, 20, 10, 18, 23, 21, 11, 32, 34, 23, 14, 22, 27, 6, 13]",10,0.05,1024,1
71,1024,0.0,4440,1.1690248000086285,"[31, 3, 6, 24, 18, 4, 25, 28, 26, 16, 0, 15, 17, 22, 35, 34, 23, 7, 26, 5, 28, 2, 35, 13, 36, 38, 20, 10, 18, 23, 21, 11, 32, 34, 23, 14, 22, 27, 6, 13]",10,0.05,1024,1
72,0,13.0,10,0.0026206999900750816,"[37, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 6, 25, 20, 37, 18, 20, 11, 28, 29, 14, 4, 23, 23, 30, 32, 22, 13, 9, 7, 22, 1, 0, 17, 8, 24, 13, 8, 30]",10,0.1,1024,1
