,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart,seed
4,8,5.0,9,0.0030220000189729035,"[3, 5, 13, 6, 6, 0, 9, 8, 4, 7, 14, 11, 0, 14, 0]",1,1024,0,5
5,16,3.0,18,0.004120800003875047,"[3, 5, 13, 6, 6, 0, 9, 8, 4, 7, 14, 11, 0, 14, 2]",1,1024,0,5
6,32,2.0,35,0.006099299993366003,"[3, 5, 13, 6, 6, 0, 9, 8, 4, 7, 14, 11, 0, 1, 2]",1,1024,0,5
7,64,1.0,68,0.009255399985704571,"[3, 5, 13, 6, 6, 10, 9, 8, 4, 7, 14, 11, 0, 1, 2]",1,1024,0,5
8,128,0.0,84,0.011271000024862587,"[3, 5, 13, 6, 12, 10, 9, 8, 4, 7, 14, 11, 0, 1, 2]",1,1024,0,5
9,256,0.0,84,0.011271000024862587,"[3, 5, 13, 6, 12, 10, 9, 8, 4, 7, 14, 11, 0, 1, 2]",1,1024,0,5
10,512,0.0,84,0.011271000024862587,"[3, 5, 13, 6, 12, 10, 9, 8, 4, 7, 14, 11, 0, 1, 2]",1,1024,0,5
11,1024,0.0,84,0.011271000024862587,"[3, 5, 13, 6, 12, 10, 9, 8, 4, 7, 14, 11, 0, 1, 2]",1,1024,0,5
0,0,8.0,0,0.00012860004790127277,"[9, 13, 4, 0, 1, 11, 12, 9, 13, 0, 13, 1, 10, 8, 9]",1,1024,0,10
1,1,7.0,2,0.0009282000246457756,"[11, 13, 4, 0, 1, 11, 12, 9, 13, 0, 13, 1, 10, 8, 9]",1,1024,0,10
2,2,5.0,4,0.0016237000236287713,"[11, 13, 4, 0, 1, 11, 12, 9, 6, 0, 13, 1, 10, 8, 9]",1,1024,0,10
3,4,5.0,6,0.002302000008057803,"[11, 13, 4, 0, 1, 11, 12, 9, 6, 0, 13, 1, 10, 8, 9]",1,1024,0,10
4,8,4.0,11,0.003155800048261881,"[11, 13, 4, 0, 1, 11, 12, 9, 6, 0, 13, 7, 10, 8, 9]",1,1024,0,10
5,16,3.0,20,0.0042378000216558576,"[11, 13, 4, 0, 1, 11, 12, 9, 6, 14, 13, 7, 10, 8, 9]",1,1024,0,10
6,32,2.0,37,0.005826600012369454,"[11, 13, 4, 0, 1, 11, 12, 9, 6, 14, 13, 7, 10, 8, 8]",1,1024,0,10
7,64,1.0,70,0.008873900049366057,"[11, 2, 4, 0, 1, 11, 12, 9, 6, 14, 13, 7, 10, 8, 8]",1,1024,0,10
8,128,0.0,109,0.012665000045672059,"[3, 2, 4, 0, 1, 11, 12, 9, 6, 14, 13, 7, 10, 8, 8]",1,1024,0,10
9,256,0.0,109,0.012665000045672059,"[3, 2, 4, 0, 1, 11, 12, 9, 6, 14, 13, 7, 10, 8, 8]",1,1024,0,10
10,512,0.0,109,0.012665000045672059,"[3, 2, 4, 0, 1, 11, 12, 9, 6, 14, 13, 7, 10, 8, 8]",1,1024,0,10
11,1024,0.0,109,0.012665000045672059,"[3, 2, 4, 0, 1, 11, 12, 9, 6, 14, 13, 7, 10, 8, 8]",1,1024,0,10
0,0,8.0,0,0.0002106999745592475,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",1,1024,0,1
1,1,8.0,1,0.0011356999748386443,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",1,1024,0,1
2,2,8.0,2,0.002063399995677173,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",1,1024,0,1
3,4,8.0,4,0.003304899961221963,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",1,1024,0,1
4,8,7.0,9,0.004552699974738061,"[5, 0, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",1,1024,0,1
5,16,7.0,17,0.005900899996049702,"[5, 0, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",1,1024,0,1
6,32,3.0,36,0.008351399970706552,"[4, 0, 13, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 2, 5, 18, 11, 10]",1,1024,0,1
