,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed,problem_size
10,512,10.0,2377,0.08668119995854795,"[4, 4, 4, 4, 4]",5,0.05,1024,2,5
11,1024,10.0,2377,0.08668119995854795,"[4, 4, 4, 4, 4]",5,0.05,1024,2,5
12,0,2.0,5,0.00011310004629194736,"[0, 0, 3, 2, 3]",5,0.1,1024,2,5
13,1,6.0,12,0.0015755000058561563,"[4, 4, 4, 3, 4]",5,0.1,1024,2,5
14,2,6.0,18,0.00342850002925843,"[4, 4, 4, 3, 4]",5,0.1,1024,2,5
15,4,6.0,30,0.0048325000097975135,"[4, 4, 4, 3, 4]",5,0.1,1024,2,5
16,8,6.0,54,0.0065122999949380755,"[4, 4, 4, 3, 4]",5,0.1,1024,2,5
17,16,10.0,103,0.008805299992673099,"[4, 4, 4, 4, 4]",5,0.1,1024,2,5
18,32,10.0,199,0.013932900037616491,"[4, 4, 4, 4, 4]",5,0.1,1024,2,5
19,64,10.0,391,0.02087450004182756,"[4, 4, 4, 4, 4]",5,0.1,1024,2,5
20,128,10.0,775,0.03296099998988211,"[4, 4, 4, 4, 4]",5,0.1,1024,2,5
21,256,10.0,1291,0.05732810008339584,"[4, 4, 4, 4, 4]",5,0.1,1024,2,5
22,512,10.0,1291,0.05732810008339584,"[4, 4, 4, 4, 4]",5,0.1,1024,2,5
23,1024,10.0,1291,0.05732810008339584,"[4, 4, 4, 4, 4]",5,0.1,1024,2,5
24,0,2.0,5,0.00010969990398734808,"[0, 0, 3, 2, 3]",5,0.2,1024,2,5
25,1,6.0,12,0.001742799999192357,"[4, 4, 4, 3, 4]",5,0.2,1024,2,5
26,2,6.0,18,0.0032682999735698104,"[4, 4, 4, 3, 4]",5,0.2,1024,2,5
27,4,6.0,30,0.004954900010488927,"[4, 4, 4, 3, 4]",5,0.2,1024,2,5
28,8,6.0,54,0.006902399938553572,"[4, 4, 4, 3, 4]",5,0.2,1024,2,5
29,16,6.0,102,0.01018009998369962,"[4, 4, 4, 3, 4]",5,0.2,1024,2,5
30,32,6.0,198,0.014382999972440302,"[4, 4, 4, 3, 4]",5,0.2,1024,2,5
31,64,10.0,391,0.020673699909821153,"[4, 4, 4, 4, 4]",5,0.2,1024,2,5
32,128,10.0,775,0.03406939993146807,"[4, 4, 4, 4, 4]",5,0.2,1024,2,5
33,256,10.0,1495,0.0580006999662146,"[4, 4, 4, 4, 4]",5,0.2,1024,2,5
34,512,10.0,1495,0.0580006999662146,"[4, 4, 4, 4, 4]",5,0.2,1024,2,5
35,1024,10.0,1495,0.0580006999662146,"[4, 4, 4, 4, 4]",5,0.2,1024,2,5
